                        ********************************
*     UNIVERSITY OF BOLO********************************




                        PROGRAM RICHARDS
                        ****************


  INFILTRATION IN HOMOGENEOUS COLUMN OF SAND                                    



    NUMBER OF NODES                 (NNODE)...: 60
    NUMBER OF SOIL MATERIALS        (NMAT)....:  4
    NUMBER OF LAYERS (NLAY)....:  1
    KODE   OF SOLUTION METHOD (KODE)....:  4
    KODE   FOR RESTART READING      (KREST)...:  0
    KODE   FOR BOUNDARY CONDITIONS  (KBOUN)...:  0
    KODE FOR COMP.INTEBLOCK COND.   (KBLOCK)..:  4


                             SOIL PARAMETERS
                             ***************

    IM   KS(IM)     PA(IM)   ALFA(IM)  BETA(IM)  GAMMA(IM) TETAS(IM) TETAR(IM)
              **************



 WATER ENTERED IN STEP:   5.5679E-03   CUM. WATER ENTERED:        2.1202E+00
 WATER OUT IN THE STEP:   3.6715E-06   CUM. WATER OUT:            9.0990E-04
 INITIAL WATER VOLUME:    9.8650E+00   ACTUAL WATER VOLUME:       1.2224E+01
 WATER BALANCE ERROR %:  -1.1295E+01   NUMBER OF TIME STEPS :         209


       NODE  IMAT    Z               H                   T

         1    1    0.50        -2.000000E+01        2.698348E-01
         2    1    2.50        -2.065399E+01        2.677144E-01
         3    1    4.50        -2.152656E+01        2.646427E-01
         4    1    6.50        -2.271503E+01        2.600156E-01
         5    1    8.50        -2.438436E+01        2.526828E-01
         6    1   10.50        -2.683882E+01        2.403198E-01
         7    1   12.50        -3.070839E+01        2.181147E-01
         8    1   14.50        -3.753258E+01        1.776376E-01
         9    1   16.50        -5.131950E+01        1.203176E-01
        10    1   18.50        -7.413792E+01        8.762978E-02
        11    1   20.50        -9.303339E+01        8.032804E-02
        12    1   22.50        -9.887872E+01        7.920839E-02
        13    1   24.50        -9.984874E+01        7.905186E-02
        14    1   26.50        -9.998093E+01        7.903109E-02
        15    1   28.50        -9.999771E+01        7.902846E-02
        16    1   30.50        -9.999974E+01        7.902814E-02
        17    1   32.50        -9.999997E+01        7.902810E-02
        18    1   34.50        -1.000000E+02        7.902810E-02
        19    1   36.50        -1.000000E+02        7.902810E-02
        20    1   38.50        -1.000000E+02        7.902810E-02
        21    1   40.50        -1.000000E+02        7.902810E-02
        22    1   42.50        -1.000000E+02        7.902810E-02
        23    1   44.50        -1.000000E+02        7.902810E-02
        24    1   46.50        -1.000000E+02        7.902810E-02
        25    1   48.50        -1.000000E+02        7.902810E-02
        26    1   50.50        -1.000000E+02        7.902810E-02
        27    1   52.50        -1.000000E+02        7.902810E-02
        28    1   54.50        -1.000000E+02        7.902810E-02
        29    1   56.50        -1.000000E+02        7.902810E-02
        30    1   58.50        -1.000000E+02        7.902810E-02
        31    1   60.50        -1.000000E+02        7.902810E-02
        32    1   62.50        -1.000000E+02        7.902810E-02
        33    1   64.50        -1.000000E+02        7.902810E-02
        34    1   66.50        -1.000000E+02        7.902810E-02
        35    1   68.50        -1.000000E+02        7.902810E-02
        36    1   70.50        -1.000000E+02        7.902810E-02
        37    1   72.50        -1.000000E+02        7.902810E-02
        38    1   74.50        -1.000000E+02        7.902810E-02
        39    1   76.50        -1.000000E+02        7.902810E-02
